zip,borough,complaints_2020,complaints_2021,complaints_2022,pop_2020,pop_2021,pop_2022,med_inc_2020,med_inc_2021,med_inc_2022,complaints_norm_2020,complaints_norm_2021,complaints_norm_2022,pct_below_poverty_2020,pct_below_poverty_2021,pct_below_poverty_2022
10001,MANHATTAN,289,330,396,25026,26966,26966,96787,101409,101409,1154.799009,1223.763257,1468.515909,11.64450455,11.97365655,11.97365655
10002,MANHATTAN,1067,1277,1905,74363,76807,76807,35607,37093,37093,1434.853354,1662.608877,2480.242686,28.8635691,28.28684112,28.28684112
10003,MANHATTAN,824,1400,1298,54671,54447,54447,129981,137533,137533,1507.1976,2571.307877,2383.969732,7.623817474,8.752630952,8.752630952
10004,MANHATTAN,8,10,15,3310,4795,4795,204949,216017,216017,241.6918429,208.5505735,312.8258603,2.469813392,2.69758637,2.69758637
10005,MANHATTAN,3,7,17,8664,8637,8637,184681,197188,197188,34.62603878,81.04665972,196.8276022,6.194880619,2.446675031,2.446675031
10006,MANHATTAN,6,11,38,3260,3894,3894,185268,200536,200536,184.0490798,282.4858757,975.8602979,6.791827719,3.314917127,3.314917127
10007,MANHATTAN,11,16,34,7566,8194,8194,250001,250001,250001,145.3872588,195.2648279,414.9377593,2.755102041,4.4978435,4.4978435
10009,MANHATTAN,1052,1256,1655,58267,60000,60000,68220,77551,77551,1805.481662,2093.333333,2758.333333,23.16732525,23.18155541,23.18155541
10010,MANHATTAN,369,428,448,34763,33193,33193,139188,131635,131635,1061.473406,1289.428494,1349.682162,9.6127038,10.08823348,10.08823348
10011,MANHATTAN,441,589,625,50228,51867,51867,136208,139343,139343,877.9963367,1135.596815,1205.005109,9.348392702,9.308055575,9.308055575
10012,MANHATTAN,315,528,542,23034,22269,22269,110490,117581,117581,1367.543631,2371.009026,2433.87669,11.50787339,11.28385155,11.28385155
10013,MANHATTAN,337,326,437,28657,29563,29563,130675,137572,137572,1175.977946,1102.729764,1478.1991,10.50919148,10.54807848,10.54807848
10014,MANHATTAN,417,522,637,29071,29815,29815,136154,136559,136559,1434.419181,1750.796579,2136.508469,5.910496528,7.226463104,7.226463104
10016,MANHATTAN,585,661,803,52912,56758,56758,124647,136431,136431,1105.609314,1164.593537,1414.778533,7.226340286,7.889755936,7.889755936
10017,MANHATTAN,279,190,302,16065,15514,15514,130417,136112,136112,1736.694678,1224.700271,1946.628851,5.244471495,7.148136416,7.148136416
10018,MANHATTAN,97,182,308,8135,8063,8063,136360,130457,130457,1192.378611,2257.224358,3819.918145,9.187688035,8.577728776,8.577728776
10019,MANHATTAN,870,745,1450,45521,43989,43989,101651,105538,105538,1911.205817,1693.605219,3296.278615,12.42867593,12.43419308,12.43419308
10021,MANHATTAN,203,324,566,42253,42484,42484,130968,136060,136060,480.4392588,762.6400527,1332.266265,7.552979533,5.804241742,5.804241742
10022,MANHATTAN,242,384,315,31574,33303,33303,138661,156255,156255,766.453411,1153.049275,945.8607333,5.990988485,7.25921067,7.25921067
10023,MANHATTAN,418,437,680,62228,65891,65891,137347,136109,136109,671.72334,663.2165243,1032.007406,7.802783536,9.069898534,9.069898534
10024,MANHATTAN,697,1198,1579,60714,63916,63916,137126,153177,153177,1148.005402,1874.335065,2470.429939,8.013864818,8.308736217,8.308736217
10025,MANHATTAN,1888,2515,3083,92162,96918,96918,99067,103440,103440,2048.566654,2594.977197,3181.039642,15.35035334,14.0760056,14.0760056
10026,MANHATTAN,1263,1763,2754,38937,39401,39401,64716,65038,65038,3243.701364,4474.505723,6989.670313,20.39447989,18.11893042,18.11893042
10027,MANHATTAN,2145,3121,3268,64728,65840,65840,57010,58435,58435,3313.86726,4740.279465,4963.547995,22.14390602,21.6092732,21.6092732
10028,MANHATTAN,432,527,657,47962,47793,47793,131013,149789,149789,900.7130645,1102.671939,1374.6783,6.034275647,4.905203711,4.905203711
